12903246,12664818,12224564,3,1ffff
13700199,13629786,4327864,14,f5a5ffff
16978422,16300310,4327864,16,f5afaffff
10950783,10733432,4327864,17,f55ffff
15067849,13362061,4327864,30,f5aa17bffff
16054691,16026634,4327864,37,f5aaa7b14e293ffff
2572876,2443277,1756288,3,7ffff
16793238,16495182,3107396,3,0ffff
5202916,3602070,3262440,6,1369e735158ba88c1ffff
17080725,7324315,3262440,7,f3ffff
17383274,16934902,3262440,8,f3ffff
15923274,14786888,7088155,20,03ffff
7324315,7222776,3262440,6,1369e735158ffff
16934902,7614988,3262440,7,1369e735158ffff
16419416,3547702,3262440,4,1369e735158ba88c1ffff
7614988,7222776,3262440,6,1369e735158ba88c1ffff
7364408,6119678,3262440,7,1369e735158ba88c1ffff
17006304,7364408,3262440,8,1369e735158ba88c1ffff
15746295,14779622,7088155,16,03ffff
14458007,14391129,7088155,18,032ab7908ed64197e581ca3a4082a364ffff
3547702,3509111,3262440,3,1369e735158ba88c0a219a8aabd38910ffff
17252782,14185933,7088155,15,032ab7908ed64197e581cc3a40ffff
4832158,4745392,3262440,5,f3ffff
14185933,13126773,7088155,14,032ab7908ed64197e581cf3a40ffff
16605452,11525829,7088155,16,03ffff
17291678,14094958,7088155,24,03ffff
11525829,9004500,7088155,15,032ab7908ed64197e581c33a4082a364ffff
14094958,14060810,7088155,23,032ab7908ed64197e58ffff
8528215,8409665,7088155,9,032ab7908ed64197e581c33a4082a3647982b95e23f6ffff
9238272,9004578,7088155,16,032ab7908ed64197e581c63a4082a3647982b95e23f6ffff
10534978,9238272,7088155,17,03ffff
17334231,17255286,14034435,9,f71e291588dad4ffff
17470499,17013170,14034435,5,f71e291588dffff
17372773,17292593,14034435,6,f71e291588dad486b5e4ffff
17233247,16851944,15225191,8,0e55ee79b779b5dd88537bd47e441daf2ffff
16851944,16700587,15225191,7,0e55ee79b779b5dd88537bd47e441daf2ffff
14850147,14708296,2776399,38,f7fecf95e8e1a6cf0ffff
17136117,14264241,2776399,37,f76ecf95e8e1a6c0ffff
17362685,14708072,2776399,36,f76ecf95e8e1a6c0ffff
17470779,17438590,2776399,35,f76ecf95e8e1a6c0ffff
17438590,16419773,2776399,34,f76ecf95e8e1a6c00ffff
16419773,16365360,2776399,33,f76ecf95e8e1a6c00ffff
17114269,12682454,2776399,32,f76ecf95e8e1a6c0ffff
12682454,12149622,2776399,31,f76ecf95e8e1a6c00ffff
16018639,13490406,2776399,30,f77ecf95e8e1a6c000ffff
13820455,13523080,2776399,28,f77effff
17082721,12309885,2776399,27,f777cf95e8e1a6c0ffff
12309885,11564559,2776399,26,f777cf95e8e1a6c000ffff
17251782,16402275,2776399,25,f76ecf95e8e1a6c0ffff
16402275,15874915,2776399,24,f76ecf95e8e1a6c00ffff
15874915,15605024,2776399,23,f76ecf95e8e1a6c00ffff
15605024,15602185,2776399,22,f76ecf95e8e1a6c00ffff
12336935,10322349,2776399,18,f7fecf95e8e1a6cf0ffff
16851307,16440973,2776399,17,f76ecf95e8e1a6c00ffff
16440973,16105752,2776399,16,f76ecf95e8e1a6c00ffff
17082981,16859887,2776399,15,f76ecf95e8e1a6c00ffff
17253775,15996175,2776399,14,f76ecf95e8e1a6c00ffff
17370249,12704800,2776399,13,f76ecf95e8e1a6c0ffff
12704800,10671838,2776399,12,f76ecf95e8e1a6ce0ffff
10671838,10470894,2776399,11,f7fecf95e8e1a6cf0ffff
16948913,16453035,2776399,10,f76ecf95e8e1a6c00ffff
16453035,14582518,2776399,9,f76ecf95e8e1a6c00ffff
17074004,9278765,2776399,8,f76ecf95e8e1a6c0ffff
9278765,8601839,2776399,7,f76ecf95e8e1a6c00ffff
12631971,12370782,8320383,8,f5cf597ffff
17472258,16683632,14202287,14,e77784ce6935e35681bdabbe7e58118eef5e4a06f6ffff
16683632,15955808,14202287,13,e77784ce6935e35681bdabbe7e58118eef5e4a06f6ffff
16360801,15267632,14202287,7,e7f7ffff
16729068,16616785,14202287,8,e77784ce6935e35681bdabbe7e5ffff
16782235,16428135,14955008,5,f7ffff
16840199,15874858,14955008,4,f7ffff
15874858,15614847,14955008,3,f7f57944185e8a17b61a240ffff
5919162,1138511,777300,5,faffff
3247260,1138511,777300,5,f7ffff
8506751,1138511,777300,5,fdffff
